titolo,link,data,giornale,raw_pred,bias,reason
I timori di Kiev: “La guerra in Israele può rallentare gli aiuti a noi”,https://www.repubblica.it/esteri/2023/10/09/news/ucraina_teme_guerra_in_israele_stop_aiuti_militari_kiev-417328090/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sugli effetti del conflitto israelo-palestinese su altri contesti internazionali, senza mostrare un bias a favore di Israele."", ""bias"":""no_bias""}uu",no_bias,"L'articolo sembra concentrarsi sugli effetti del conflitto israelo-palestinese su altri contesti internazionali, senza mostrare un bias a favore di Israele."
Israele: “Catturato il vice capo della forza navale di Hamas”,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/09/israele-catturato-il-vice-capo-della-forza-navale-di-hamas06.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo si concentra sull'azione di Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo si concentra sull'azione di Israele senza considerare il contesto più ampio del conflitto.
La comunità ebraica: “Dopo l’attacco a Israele  bene più vigilanza”,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/09/la-comunita-ebraica-dopo-lattacco-a-israele-bene-piu-vigilanzaFirenze02.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra sottolineare la necessità di maggiore sicurezza per la comunità ebraica senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra sottolineare la necessità di maggiore sicurezza per la comunità ebraica senza considerare il contesto più ampio del conflitto.
Israele invia i tank al confine con Gaza “L’Iran ha approvato l’attacco di Hamas”,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/09/israele-invia-i-tank-al-confine-con-gaza-liran-ha-hamas06.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra voler giustificare le azioni di Israele attribuendo la responsabilità all'Iran e a Hamas senza considerare la complessità del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra voler giustificare le azioni di Israele attribuendo la responsabilità all'Iran e a Hamas senza considerare la complessità del conflitto.
Attacco a Israele  solidarietà  a Torino,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/09/attacco-a-israele-solidarieta-a-torinoTorino05.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sull'attacco a Israele e sulla solidarietà a Torino senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi sull'attacco a Israele e sulla solidarietà a Torino senza considerare il contesto più ampio del conflitto.
I sauditi non cambiano i loro piani “I negoziati con Israele vanno avanti”,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/09/i-sauditi-non-cambiano-i-loro-piani-i-negoziati-avanti10.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sui piani dei sauditi e sui negoziati con Israele senza enfatizzare un particolare bias."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra concentrarsi sui piani dei sauditi e sui negoziati con Israele senza enfatizzare un particolare bias.
Israele invia i tank al confine con Gaza. “L’Iran ha approvato l’attacco di Hamas”,https://www.repubblica.it/esteri/2023/10/09/news/israele_tank_gaza_iran_hamas-417304173/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra enfatizzare il presunto coinvolgimento dell'Iran senza considerare la complessità del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra enfatizzare il presunto coinvolgimento dell'Iran senza considerare la complessità del conflitto.
I sauditi non cambiano i loro piani: “I negoziati con Israele vanno avanti”,https://www.repubblica.it/esteri/2023/10/09/news/arabia_saudita_reazione_attacco_hamas_israele-417302621/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo non tratta direttamente del conflitto israelo-palestinese, quindi non mostra un bias specifico su questo tema."", ""bias"":""no_bias""}uu",no_bias,"L'articolo non tratta direttamente del conflitto israelo-palestinese, quindi non mostra un bias specifico su questo tema."
Guerini: “Pd dalla parte giusta: con Israele come già con l’Ucraina”,https://www.repubblica.it/politica/2023/10/09/news/lorenzo_guerini_guerra_israele_palestina-417288806/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sostiene che il Partito Democratico sia dalla parte giusta, equiparando il sostegno ad Israele a quello all'Ucraina senza considerare la complessità del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo sostiene che il Partito Democratico sia dalla parte giusta, equiparando il sostegno ad Israele a quello all'Ucraina senza considerare la complessità del conflitto."
"Attacco a Israele, Putin: ""Gli Usa non hanno mai tenuto conto degli interessi della Palestina""",https://video.repubblica.it/dossier/video-israele-palestina-attacco-hamas-2023/putin-israele-hamas-palestina-responsabilita-usa/454368/455334?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sulle critiche degli Stati Uniti piuttosto che giustificare le violenze di Israele."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra concentrarsi sulle critiche degli Stati Uniti piuttosto che giustificare le violenze di Israele.
L’incognita Hezbollah per Israele: ecco cosa è e cosa vuole il movimento sostenuto dall’Iran,https://www.repubblica.it/esteri/2023/10/10/news/incognita_hezbollah_israele_cosa_vuole_movimento_sostenuto_da_iran-417437643/?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo si concentra su Hezbollah e il suo rapporto con Israele, senza enfatizzare un particolare bias a favore di Israele."", ""bias"":""no_bias""}uu",no_bias,"L'articolo si concentra su Hezbollah e il suo rapporto con Israele, senza enfatizzare un particolare bias a favore di Israele."
"Israele, il missile centra in pieno l'imbarcazione di Hamas",https://video.repubblica.it/dossier/video-israele-palestina-attacco-hamas-2023/israele-il-missile-centra-in-pieno-la-nave-di-hamas/454333/455299?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra enfatizzare l'azione militare di Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra enfatizzare l'azione militare di Israele senza considerare il contesto più ampio del conflitto.
Il grande bluff di Hamas che ha ingannato Israele,https://www.repubblica.it/esteri/2023/10/10/news/bluff_hamas_ingannato_israele-417429962/?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo accusa Hamas di ingannare Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo accusa Hamas di ingannare Israele senza considerare il contesto più ampio del conflitto.
E all’Orientale e a Fisciano  bandiere pro Palestina  I rettori: “Non è l’ora di tensioni”,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/10/e-allorientale-e-a-fisciano-bandiere-pro-palestina-tensioniNapoli02.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra dare voce a entrambe le posizioni, senza mostrare un bias a favore di Israele."", ""bias"":""no_bias""}uu",no_bias,"L'articolo sembra dare voce a entrambe le posizioni, senza mostrare un bias a favore di Israele."
Cosa ci insegna Israele,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/10/cosa-ci-insegna-israele32.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-10,Repubblica,"{""reason"": ""Il titolo è generico e non fornisce informazioni specifiche sul contenuto dell'articolo."", ""bias"":""no_bias""}uu",no_bias,Il titolo è generico e non fornisce informazioni specifiche sul contenuto dell'articolo.
"Maurizio Molinari: ""Hamas aggredisce Israele perché vuole rovesciare Abu Mazen e prendere il controllo dei palestinesi in Cisgiordania""",https://video.repubblica.it/dossier/tv/maurizio-molinari-hamas-aggredisce-israele-perche-vuole-rovesciare-abu-mazen-e-prendere-il-controllo-dei-palestinesi-in-cisgiordania/454317/455283?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo attribuisce le azioni di Hamas a motivazioni politiche interne, senza considerare il contesto più ampio del conflitto israelo-palestinese."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo attribuisce le azioni di Hamas a motivazioni politiche interne, senza considerare il contesto più ampio del conflitto israelo-palestinese."
"Ostaggi in Israele, la minaccia dei miliziani: “Ne uccidiamo uno per ogni raid”",https://www.repubblica.it/cronaca/2023/10/10/news/ostaggi_israele_minaccia_miliziani-417396895/?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sulle minacce dei miliziani senza contestualizzare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi sulle minacce dei miliziani senza contestualizzare il contesto più ampio del conflitto.
"Israele: Yair Golan, l’ex generale eroe simbolo della sinistra salva due ragazzi dal rave dell’orrore",https://www.repubblica.it/esteri/2023/10/10/news/rave_israele_eroe_yair_golan-417398083/?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra enfatizzare l'aspetto positivo di un ex generale israeliano senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra enfatizzare l'aspetto positivo di un ex generale israeliano senza considerare il contesto più ampio del conflitto.
"Israele - Hamas, le news del 9 ottobre. Oltre 900 morti in Israele, 687 nella Striscia. Hamas: “Uccideremo gli ostaggi”. Meloni sente gli altri leader: “Fermo sostegno a Israele”",https://www.repubblica.it/esteri/2023/10/09/diretta/israele_hamas_gaza_news_guerra_oggi-417303013/?ref=search,2023-10-10,Repubblica,"{""reason"": ""L'articolo sembra enfatizzare il numero di morti in Israele rispetto alla Striscia senza considerare il contesto e le ragioni di questa disparità. Inoltre, la citazione di Meloni e il 'fermo sostegno a Israele' possono indicare un bias a favore di Israele."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo sembra enfatizzare il numero di morti in Israele rispetto alla Striscia senza considerare il contesto e le ragioni di questa disparità. Inoltre, la citazione di Meloni e il 'fermo sostegno a Israele' possono indicare un bias a favore di Israele."
"Metropolis/422 - ""Al buio"". Perché in Israele l'escalation è a un passo. Con Bergamini, Della Longa (Cri), Manconi, Paragone e Picierno (integrale)",https://video.repubblica.it/metropolis/metropolis422-al-buio-perche-in-isarele-l-escalation-e-a-un-passo-con-bergamini-della-longa-cri-manconi-paragone-e-picierno-integrale/454449/455415?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo sembra analizzare la situazione senza prendere una posizione di parte."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra analizzare la situazione senza prendere una posizione di parte.
"Sheffield, manifestante si arrampica sul tetto del municipio per togliere la bandiera di Israele e issare quella della Palestina",https://video.repubblica.it/mondo/sheffield-bandiere-israele-palestina/454440/455406?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sull'azione del manifestante senza approfondire il contesto del conflitto israelo-palestinese."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra concentrarsi sull'azione del manifestante senza approfondire il contesto del conflitto israelo-palestinese.
Storia del conflitto Israele-Palestina. Dal “peccato originale” della fondazione alle stragi di Hamas,https://www.repubblica.it/esteri/2023/10/11/news/storia_israele_palestina_motivi_conflitto-417512032/?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo sembra attribuire la responsabilità principale del conflitto a Hamas, senza considerare la complessità storica e politica della situazione."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo sembra attribuire la responsabilità principale del conflitto a Hamas, senza considerare la complessità storica e politica della situazione."
Il post sulla Palestina  della consigliera  fa infuriare il Pd  Poi la retromarcia,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/11/il-post-sulla-palestina-della-consigliera-retromarciaFirenze05.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sulle reazioni politiche interne piuttosto che sulla complessità del conflitto israelo-palestinese."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra concentrarsi sulle reazioni politiche interne piuttosto che sulla complessità del conflitto israelo-palestinese.
"Israele e Palestina, i presidi opposti  Jarach: no alle due bandiere in Comune",https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/11/israele-e-palestina-i-presidi-opposti-jarach-no-alle-comuneMilano01.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo sembra affrontare entrambe le prospettive senza favorirne una specifica."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra affrontare entrambe le prospettive senza favorirne una specifica.
Schierati filopalestinesi e pro Israele città divisa ma le piazze non si riempiono,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/11/schierati-filopalestinesi-e-pro-israele-citta-riempionoMilano05.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-11,Repubblica,"{""reason"": ""Il titolo sembra suggerire una parità tra le due fazioni coinvolte nel conflitto, senza mostrare un chiaro bias a favore di una delle due."", ""bias"":""no_bias""}uu",no_bias,"Il titolo sembra suggerire una parità tra le due fazioni coinvolte nel conflitto, senza mostrare un chiaro bias a favore di una delle due."
"Israele, serve la voce di Napoli",https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/11/israele-serve-la-voce-di-napoliNapoli14.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-11,Repubblica,"{""reason"": ""Il titolo sembra non avere alcun collegamento con il conflitto israelo-palestinese, quindi non fornisce informazioni utili per valutare un bias specifico."", ""bias"":""no_bias""}uu",no_bias,"Il titolo sembra non avere alcun collegamento con il conflitto israelo-palestinese, quindi non fornisce informazioni utili per valutare un bias specifico."
Scontri per i cortei pro-Palestina,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/11/scontri-per-i-cortei-pro-palestinaRoma07.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-11,Repubblica,"{""reason"": ""Il titolo non fornisce informazioni sufficienti per determinare un bias specifico."", ""bias"":""no_bias""}uu",no_bias,Il titolo non fornisce informazioni sufficienti per determinare un bias specifico.
"La minaccia di Israele: “Niente acqua, luce e gas a Gaza fino al rilascio degli ostaggi”",https://www.repubblica.it/esteri/2023/10/11/news/fratello_yahya_sinwar_leader_hamas-417573853/?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo presenta le azioni di Israele come una minaccia e menziona il concetto di ostaggi, suggerendo una visione critica delle azioni israeliane."", ""bias"":""no_bias""}uu",no_bias,"L'articolo presenta le azioni di Israele come una minaccia e menziona il concetto di ostaggi, suggerendo una visione critica delle azioni israeliane."
"Attacco a Israele, il pogrom jihadista contro la dignità degli esseri umani",https://www.repubblica.it/editoriali/2023/10/11/news/israele_pogrom_jihadisti_hamas_dignita_esseri_umani-417479063/?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo utilizza un linguaggio fortemente emotivo e parziale per condannare l'attacco a Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo utilizza un linguaggio fortemente emotivo e parziale per condannare l'attacco a Israele senza considerare il contesto più ampio del conflitto.
"Da Forza Nuova a Do.Ra, i neofascisti si schierano con i terroristi: “Hamas vuole una Palestina come la Svizzera”",https://www.repubblica.it/politica/2023/10/10/news/forza_nuova_dora_pro_hamas_palestina-417422469/?ref=search,2023-10-11,Repubblica,"{""reason"": ""L'articolo associa i palestinesi a terroristi senza considerare il contesto complesso del conflitto israelo-palestinese."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo associa i palestinesi a terroristi senza considerare il contesto complesso del conflitto israelo-palestinese.
